name,phone,city,region,detailed_address,latitude,longitude
FamilyMart 全家澎湖尚洪店,06-9218964,澎湖縣,馬公市,東衛里９－１號,119.594631,23.560843
FamilyMart 全家澎湖玄武店,06-9216170,澎湖縣,馬公市,西文里西文澳１６３－８號,119.573281,23.577044
FamilyMart 全家澎湖鑫科店,06-9265145,澎湖縣,馬公市,三多路１１８號,119.565472,23.56599
FamilyMart 全家澎湖西衛店,06-9269596,澎湖縣,馬公市,西衛里五福路１０１號,119.564371,23.567527
FamilyMart 全家澎湖和田店,06-9267983,澎湖縣,馬公市,民權路２號一樓,119.572038,23.57337
FamilyMart 全家澎湖鑫旺店,06-9953046,澎湖縣,馬公市,鎖港里吉慶路７號,119.567633,23.567282
FamilyMart 全家澎湖武聖店,06-9262411,澎湖縣,馬公市,陽明路２５號一樓,119.582586,23.563315
FamilyMart 全家澎湖外垵店,06-9982869,澎湖縣,西嶼鄉,外垵村１３０號,119.51699816071324,23.594457999999989
FamilyMart 全家澎湖吉貝店,06-9911393,澎湖縣,白沙鄉,吉貝１８３－９號,119.555637,23.658628999999991
