Okmart 高雄林森店,07-963-8360,高雄市,新興區,八德一路320、322號1樓,,
Okmart 高雄大同店,07-963-0549,高雄市,前金區,大同一路202號1樓,,
Okmart 高雄駁二藝術店,07-963-5442,高雄市,鹽埕區,大義街21號,,
Okmart 高雄府北店,07-963-1070,高雄市,鹽埕區,府北路32號1樓,,
Okmart 鼓山西藏店,07-963-0548,高雄市,鼓山區,西藏街300號,,
Okmart 鼓山青泉店,07-963-1311,高雄市,鼓山區,鼓山三路13-1號1樓(+2樓部分隔間),,
Okmart 高雄西子灣店,07-963-1368,高雄市,鼓山區,哨船街41號一樓,,
Okmart 高雄建順店,07-963-0997,高雄市,三民區,建德路51、53號1樓,,
Okmart 高雄莊敬店,07-963-1046,高雄市,三民區,莊敬路146號,,
Okmart 高雄大豐店,07-963-3272,高雄市,三民區,大豐二路90.92號1樓,,
Okmart 高雄高賓門市,07-963-5464,高雄市,三民區,本館路600巷20號(家屬休息室),,
Okmart 苓雅監理站門市,07-963-0167,高雄市,三民區,建國一路454號1樓,,
Okmart 恩智浦門市,07-963-5211,高雄市,楠梓區,經五路十號地下一樓,,
Okmart 楠梓楠陽店,07-963-1420,高雄市,楠梓區,楠陽路140號,,
Okmart 楠梓日月光店,07-963-7161,高雄市,楠梓區,科技路2號,,
Okmart 楠梓華泰門市,07-963-0046,高雄市,楠梓區,楠梓加工出口區東三街16號,,
Okmart 高雄市監理門市,07-963-1281,高雄市,楠梓區,德民路71號1樓(行政大樓1樓北側),,
Okmart 小港中鋼店,07-963-0292,高雄市,小港區,大業北路146號1樓,,
Okmart 高雄台船門市,07-963-0814,高雄市,小港區,中鋼路3號,,
Okmart 左營南碼頭門市,07-963-3915,高雄市,左營區,介壽路20號1樓,,
Okmart 台鐵岡山門市,07-963-8213,高雄市,岡山區,岡燕路111號,,
Okmart 路竹中和店,07-696-3785,高雄市,路竹區,中和街150號1樓右側兩格,,
Okmart 鳳山瑞春店,07-963-1848,高雄市,鳳山區,瑞春街46號1樓,,
Okmart 鳳山鳳東店,07-963-1719,高雄市,鳳山區,鳳東路2號1樓,,
Okmart 高雄監理所門市,07-722-6950,高雄市,鳳山區,武營路361號,,
Okmart 大寮仁德店,07-963-7190,高雄市,大寮區,仁德路118號1樓,,
Okmart 大寮陽明店,07-963-1741,高雄市,大寮區,內厝路281號1樓,,
Okmart 大寮三隆店,07-963-3150,高雄市,大寮區,三隆路486號1樓,,
Okmart 旗山旗楠店,07-963-1691,高雄市,旗山區,旗南三路167-31,32,33號,,
