Okmart 彰化國聖店,04-700-3705,彰化縣,彰化市,中山路三段512號1樓,,
Okmart 彰化福安店,04-700-3927,彰化縣,彰化市,福山街214、216號1樓,,
Okmart 彰化天祥店,04-700-1785,彰化縣,彰化市,天祥路241號,,
Okmart 彰化公園店,04-700-3935,彰化縣,彰化市,公園路１段471號1樓,,
Okmart 彰化茄苳店,04-700-1540,彰化縣,彰化市,茄苳路二段20號1樓,,
Okmart 彰化鹿東店,04-700-3853,彰化縣,鹿港鎮,鹿東路207、209號1樓,,
Okmart 鹿港中山店,04-700-1582,彰化縣,鹿港鎮,中山路502號,,
Okmart 福興寶成門市,04-700-3684,彰化縣,福興鄉,福工路2號1樓(辦公大樓),,
Okmart 員林浮圳店,04-700-1562,彰化縣,員林市,浮圳路２段237號1樓,,
Okmart 員林南平店,04-700-3925,彰化縣,員林市,南平街140號1樓,,
Okmart 員林高中門市,04-700-1598,彰化縣,員林市,靜修路79號(校史館1樓),,
Okmart 社頭清水店,04-700-3929,彰化縣,社頭鄉,忠義路703號一樓,,
Okmart 永靖永福店,04-700-1757,彰化縣,永靖鄉,永福路１段140、142號1樓,,
Okmart 埔心忠義店,04-700-3902,彰化縣,埔心鄉,忠義北路1號,,
Okmart 埔心新館店,04-700-3913,彰化縣,埔心鄉,新館路726號,,
Okmart 文興高中門市,04-700-3956,彰化縣,田中鎮,員集路３段93號(聖愛樓),,
Okmart 北斗舜耕店,04-700-3919,彰化縣,北斗鎮,中山路１段88.90號,,
Okmart 彰化田尾店,04-700-3918,彰化縣,田尾鄉,民生路１段7號1樓,,
Okmart 田尾光復店,04-700-3627,彰化縣,田尾鄉,光復路１段96號1樓,,
Okmart 田尾陸豐店,04-700-1509,彰化縣,田尾鄉,中正路３段188號,,
Okmart 竹塘信義店,04-700-3851,彰化縣,竹塘鄉,信義街2號1樓,,
Okmart 二林萬興店,04-700-3903,彰化縣,二林鎮,二溪路６段508、510、512號1樓,,
Okmart 二林仁愛店,04-700-3905,彰化縣,二林鎮,仁愛路472號1樓,,
Okmart 二林儒林店,04-700-3704,彰化縣,二林鎮,儒林路２段260號,,
Okmart 二林挖仔店,04-700-3878,彰化縣,二林鎮,挖子路15-13號1樓、2樓,,
Okmart 芳苑上林店,04-700-1691,彰化縣,芳苑鄉,上林路路上段430號1-3樓,,
Okmart 彰化二水店,04-700-3745,彰化縣,二水鄉,光文路9號1樓,,
