---,分隔線,商店資訊---,,,,
申請編號,,,,,,
公司名稱,三番海苔飯捲 石牌食尚店,,,,,
城市,臺北市,,,,,
鄉鎮市區,北投區,,,,,
詳細地址,石牌路一段90巷19號1樓,,,,,
電話,228771122,,,,,
網址,,,,,,
聯絡人,,,,,,
聯絡人電話,,,,,,
介紹,,,,,,
訂購備註,內用、到店取貨,,,,,
進件管道,,,,,,
主分類,A,,,,,
次分類,8,,,,,
是否顯示,1,,,,,
強制更新,1,,,,,
版本,4,,,,,
,,,,,,
---,分隔線,商品分類代碼,---,,,
商品分類編號,商品分類名稱,,,,,
6,7&8,45,養樂多綠茶,660cc,,
6,10&7&8,40,鮮檸檬 紅/綠 茶,660cc,,
6,7&8,40,蜂蜜水,660cc,,
6,10&7&9,40,蜂蜜 紅/綠 茶,660cc,,
6,10&7&9,30,紅茶/綠茶,660cc,,
6,7&8,30,冬瓜茶,660cc,,
,,,,,,
7,7&9,60,鮮奶,500cc,,
7,10&7&9,55,鮮奶 紅/綠 茶,660cc,,
7,7&8,55,冬瓜鮮奶,660cc,,
7,7&9,50,蜂蜜奶茶,660cc,,
7,7&9,40,招牌奶茶,660cc,,
,,,,,,
8,7&8,45,鮮奶仙草凍,660cc,,
8,7&8,45,仙草凍奶茶,500cc,,
8,7&8,40,冬瓜仙草,660cc,,
8,7&8,35,仙草蜜,660cc,,
,,,,,,
9,7&8,55,鮮檸檬蘆薈,660cc,,
9,7&8,55,鮮百香果粒蜜茶,660cc,,
9,7&8,55,蜂蜜蘆薈,660cc,,
9,7&8,50,鮮檸檬汁,500cc,,
9,7&8,50,蜂蜜檸檬,660cc,,
9,7&8,50,鮮百香果汁,500cc,,
9,7&8,45,冬瓜檸檬,660cc,,
,,,,,,
10,,65,香草冰淇淋泡芙,,,
10,,65,美式薯條,,,
10,,60,酥炸小巧雞塊,,,
10,,60,麵香熱狗球,,,
10,,50,M薯,,,
10,,70,洋蔥圈,,,
10,,65,地瓜球,,,
,,,,,,
11,,35,蔬菜味增湯,全素,,
11,11,35,鮮奶玉米濃湯,蛋奶素,,
,,,,,,
,,,,,,
,,,,,,
---,分隔線,分公司基本資料,---,,,
分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
