name,phone,city,region,detailed_address,latitude,longitude
FamilyMart 全家基隆車站店,02-2425-9160,基隆市,仁愛區,中山一路１６之１號,25.128818,121.744854
FamilyMart 全家基隆仁三店,02-2428-6905,基隆市,仁愛區,仁三路５９號壹樓,25.128415,121.742868
FamilyMart 全家基隆仁四店,02-2426-5932,基隆市,仁愛區,仁四路５２號１樓,25.130108,121.739341
FamilyMart 全家基隆新站前店,02-2427-3646,基隆市,仁愛區,忠一路１９號,25.130023,121.739992
FamilyMart 全家基隆仁愛店,02-2425-9270,基隆市,仁愛區,愛四路５６號１樓及夾層,25.125948,121.741068
FamilyMart 全家基隆新正信店,02-2466-5413,基隆市,信義區,正信路１８１號,25.127675,121.767724
FamilyMart 全家基隆信一店,02-2424-1255,基隆市,信義區,信一路１４８號,25.129659,121.751548
FamilyMart 全家基隆深美店,02-2468-5554,基隆市,信義區,教忠街１０８號壹樓,25.132781,121.782039
FamilyMart 全家基隆新祥豐店,02-2462-7260,基隆市,中正區,中正路６２３號壹樓,25.151033,121.766893
FamilyMart 全家基隆鑫港店,02-2427-5332,基隆市,中正區,中正路１８號壹樓,25.137445,121.751056
FamilyMart 全家基隆富港店,02-2469-9625,基隆市,中正區,北寧路２５０－８號１．２樓,25.150867,121.772389
FamilyMart 全家基隆二信店,02-2463-4966,基隆市,中正區,立德路２４３號壹樓,25.155053,121.765795
FamilyMart 全家基隆欣豐店,02-2469-9472,基隆市,中正區,新豐街３８１號,25.131062,121.745424
FamilyMart 全家基隆觀海店,02-2460-6545,基隆市,中正區,砂子里觀海街１３６號１３８號一樓,25.138375,121.793451
FamilyMart 全家基隆中山店,02-2428-5091,基隆市,中山區,中山二路５３號．５３－１號,25.148235,121.720787
FamilyMart 全家基隆鑫大慶店,02-2437-1195,基隆市,中山區,中和路１６８巷２弄１７號,25.145476,121.738675
FamilyMart 全家基隆樂華店,02-2428-5782,基隆市,中山區,西康里西定路４６７號１樓,25.150676,121.727983
FamilyMart 全家基隆新復興店,02-2436-6769,基隆市,中山區,復興路２０４－１號,25.148135,121.725005
FamilyMart 全家基隆新安和店,02-2434-1775,基隆市,安樂區,安和一街１２４號,25.127989,121.73248
FamilyMart 全家基隆長庚店,02-2432-6001,基隆市,安樂區,安樂路二段１５７號,25.148534,121.699493
FamilyMart 全家基隆武嶺店,02-2433-5573,基隆市,安樂區,武嶺街１８１－６號１樓,25.149254,121.707775
FamilyMart 全家基隆新國揚店,02-3401-2842,基隆市,安樂區,基金一路１２１巷１４號,25.140588,121.71172
FamilyMart 全家基隆新崙店,02-2431-3410,基隆市,安樂區,基金一路２０８巷９２之６號一樓,25.156583,121.695374
FamilyMart 全家基隆金城店,02-3401-2667,基隆市,安樂區,麥金路２３１－１號,25.12091,121.722356
FamilyMart 全家基隆鑫樂富店,02-2434-9184,基隆市,安樂區,樂利二街６２巷２２５號,25.129359,121.718614
FamilyMart 全家基隆新樂群店,02-2433-7917,基隆市,安樂區,樂利三街１２８號,25.126775,121.71245
FamilyMart 全家八堵車站店,02-2456-7770,基隆市,暖暖區,八堵路１４２號,25.098533,121.734792
FamilyMart 全家基隆暖東店,02-2458-2882,基隆市,暖暖區,暖暖街１６３號,25.092936,121.736925
FamilyMart 全家基隆暖錠店,02-2459-4800,基隆市,暖暖區,源遠路１８９號,25.099109,121.755727
FamilyMart 全家基隆暖港店,02-2457-4786,基隆市,暖暖區,過港路２５４號,25.092035,121.754144
FamilyMart 全家七堵工明店,02-2451-9520,基隆市,七堵區,工建路１－１５號壹樓,25.099258,121.713875
FamilyMart 全家七堵自治店,02-2455-4377,基隆市,七堵區,自治街６號,25.08838,121.705335
FamilyMart 全家七堵東新店,02-2767-8206,基隆市,七堵區,東新街６７號壹樓,25.074853,121.695965
FamilyMart 全家七堵大興店,02-2456-0059,基隆市,七堵區,南興路３０號１樓,25.089208,121.708735
