name,phone,city,region,detailed_address,latitude,longitude
FamilyMart 全家宜蘭大福店,03-9301476,宜蘭縣,宜蘭市,大福路一段４３號，４５號,121.742127,24.745526
FamilyMart 全家宜蘭縣府店,03-9253048,宜蘭縣,宜蘭市,中山路一段３４６號一至二樓,121.755063,24.746472
FamilyMart 全家宜蘭中山店,03-9312463,宜蘭縣,宜蘭市,中山路三段２１０號一樓,121.752237,24.755276
FamilyMart 全家宜蘭新吳沙店,03-9289296,宜蘭縣,宜蘭市,中山路五段８１號一樓,121.75922925,24.73998745
FamilyMart 全家宜蘭文昌店,03-9356428,宜蘭縣,宜蘭市,文昌路１２０號,121.74735419,24.75169863
FamilyMart 全家宜蘭新月店,03-9324619,宜蘭縣,宜蘭市,民權路二段３８巷６號【新月廣場１樓】,121.75760132,24.75475296
FamilyMart 全家宜蘭新延平店,03-9373446,宜蘭縣,宜蘭市,延平路３８之４１號,121.780491,24.74881
FamilyMart 全家宜蘭東港店,03-9373859,宜蘭縣,宜蘭市,中興里東港路二段５５２號、５５６號１樓,121.74045184,24.73566866
FamilyMart 全家宜蘭陽大店,03-9385194,宜蘭縣,宜蘭市,校舍路１６９號Ｂ１,121.75896326,24.75075435
FamilyMart 全家宜蘭福泰店,03-9324868,宜蘭縣,宜蘭市,泰山路８３號,121.73268416,24.7484079
FamilyMart 全家宜蘭神農店,03-9313478,宜蘭縣,宜蘭市,神農路一段１０２號；農權路２５７，２５,121.752703,24.742553
FamilyMart 全家頭城車頭店,03-9782455,宜蘭縣,頭城鎮,民鋒路３２號,121.795064,24.839007
FamilyMart 全家頭城省道店,03-9870631,宜蘭縣,頭城鎮,二城里青雲路一段１號,121.863481,24.900002
FamilyMart 全家宜蘭礁溪店,03-9870468,宜蘭縣,礁溪鄉,中山路二段１４４號,121.772109,24.82482
FamilyMart 全家礁溪仁愛店,03-9872033,宜蘭縣,礁溪鄉,仁愛路１６號１樓,121.7869983,24.79818582
FamilyMart 全家礁溪健康店,03-9874587,宜蘭縣,礁溪鄉,健康路５０號１樓之１,121.768663,24.818277
FamilyMart 全家壯圍功勞店,03-9305772,宜蘭縣,壯圍鄉,功勞路１９之１號１樓,121.785007,24.746808
FamilyMart 全家壯圍濱海店,03-9308929,宜蘭縣,壯圍鄉,壯濱路三段３０６－１號,121.78308968,24.77530009
FamilyMart 全家宜蘭內城店,03-9230814,宜蘭縣,員山鄉,內城路４５５號１樓,121.728586,24.746724
FamilyMart 全家員山農會店,03-9233267,宜蘭縣,員山鄉,員山路一段２８１號,121.729558,24.727569
FamilyMart 全家羅東中榮店,03-9603394,宜蘭縣,羅東鎮,中山路二段２８３號及２８５號壹樓,121.771957,24.668531
FamilyMart 全家羅東南門店,03-9574266,宜蘭縣,羅東鎮,中正路１號,121.75658683,24.67927646
FamilyMart 全家羅東站前店,03-9561480,宜蘭縣,羅東鎮,公正路６１號,121.774304,24.678064
FamilyMart 全家羅東民族店,03-9542728,宜蘭縣,羅東鎮,公園路５０號,121.759794,24.677964
FamilyMart 全家羅東天祥店,03-9534547,宜蘭縣,羅東鎮,南昌東街３９號１樓,121.763883,24.674196
FamilyMart 全家羅東鑫復興店,03-9553056,宜蘭縣,羅東鎮,復興路二段２６６號,121.769211,24.680853
FamilyMart 全家宜蘭天送埤店,03-9894021,宜蘭縣,三星鄉,三星路七段３２２號,121.728878,24.692739
FamilyMart 全家五結國道店,03-9604824,宜蘭縣,五結鄉,中興路一段１７７號１樓,121.797658,24.685047
FamilyMart 全家五結興盛店,03-9553470,宜蘭縣,五結鄉,五結路三段７５１號１Ｆ,121.826663,24.683422
FamilyMart 全家五結鑫利成店,03-9603740,宜蘭縣,五結鄉,利成路一段５－１號,121.82291496,24.66608112
FamilyMart 全家宜蘭薪傳店,03-9601397,宜蘭縣,五結鄉,傳藝路二段１５６號一樓及停車場,121.802976,24.673133
FamilyMart 全家冬山中心店,03-9592744,宜蘭縣,冬山鄉,冬山路１０８號一樓,121.773446,24.665599
FamilyMart 全家冬山永興店,03-9587433,宜蘭縣,冬山鄉,永興路一段１號１樓,121.74291391,24.6661499
FamilyMart 全家冬山義新店,03-9587507,宜蘭縣,冬山鄉,義成路三段４０９號,121.766696,24.66291
FamilyMart 全家宜蘭廣源店,03-9517357,宜蘭縣,冬山鄉,廣興路４８號,121.747386,24.669513
FamilyMart 全家蘇澳馬賽店,03-9909822,宜蘭縣,蘇澳鎮,大同路７號１樓,121.851526,24.596011
FamilyMart 全家蘇澳聖湖店,03-9954216,宜蘭縣,蘇澳鎮,聖湖里中山路二段３１號一樓,121.801722,24.464847
