name,phone,city,region,detailed_address,latitude,longitude
悟饕池上飯包 民雄安和店,05-2260113,嘉義縣,民雄鄉,西安村安和路40之3號,,
悟饕池上飯包 嘉義朴子店,05-3700479,嘉義縣,朴子市,文化南路17 號,,
