name,phone,city,region,detailed_address,latitude,longitude
悟饕池上飯包 吉安中山店,03-8510838,花蓮縣,吉安鄉,中山路二段71之1號1樓,,
悟饕池上飯包 花蓮中華店,03-8330009,花蓮縣,花蓮市,中華路191號,,
悟饕池上飯包 花蓮太昌店,03-8460558,花蓮縣,吉安鄉,吉安路一段55-21號,,
悟饕池上飯包 花蓮玉里店,03-8883938,花蓮縣,玉里鎮,光復路142號,,
悟饕池上飯包 花蓮中原店,03-8311805,花蓮縣,花蓮市,中原路760號,,
悟饕池上飯包 花蓮富國店,03-8461852,花蓮縣,花蓮市,富國路38號,,
悟饕池上飯包 花蓮慶豐店,03-8536249,花蓮縣,吉安鄉,中山路3段434號,,
悟饕池上飯包 花蓮美崙店,03-8237634,花蓮縣,花蓮市,府前路31號,,
悟饕池上飯包 花蓮豐濱店,03-8791174,花蓮縣,豐濱鄉,三民路22號,,
悟饕池上飯包 新城北埔店,03-8261911,花蓮縣,新城鄉,北埔路231號,,
悟饕池上飯包 花蓮鳳林店,03-8760960,花蓮縣,鳳林鎮,中正路二段205號,,
悟饕池上飯包 瑞穗中山店,03-8876288,花蓮縣,瑞穗鄉,中山路一段65號,,
悟饕池上飯包 光復中正店,03-8703369,花蓮縣,光復鄉,中正路一段95號,,
