name,phone,city,region,detailed_address,latitude,longitude
悟饕池上飯包 宜蘭宜興店,03-9313787,宜蘭縣,宜蘭市,宜興路一段71號73號,,
悟饕池上飯包 羅東中正南店,03-9565166,宜蘭縣,羅東鎮,中正南路64號,,
悟饕池上飯包 宜蘭總部,03-9903366,宜蘭縣,五結鄉,五濱路一段18號,,
悟饕池上飯包 宜蘭東港店,03-9386829,宜蘭縣,宜蘭市,東港路二段261號,,
悟饕池上飯包 宜蘭北門店,03-9321466,宜蘭縣,宜蘭市,中山路三段161號,,
悟饕池上飯包 宜蘭壯圍店,03-9388877,宜蘭縣,壯圍鄉,壯五路305號,,
悟饕池上飯包 宜蘭員山店,03-9230732,宜蘭縣,員山鄉,員山路1段192號,,
悟饕池上飯包 宜蘭礁溪店,03-9888589,宜蘭縣,礁溪鄉,德陽村礁溪路五段5巷1號,,
悟饕池上飯包 宜蘭頭城店,03-9775645,宜蘭縣,頭城鎮,青雲路三段252號,,
悟饕池上飯包 宜蘭三星店,03-9895795,宜蘭縣,三星鄉,三星路4段438號,,
悟饕池上飯包 宜蘭龍潭店,03-9284949,宜蘭縣,宜蘭市,大坡路二段179號,,
悟饕池上飯包 宜蘭宜蘭店,03-9365435,宜蘭縣,宜蘭市,民權路二段3號,,
悟饕池上飯包 宜蘭蘇澳店,03-9973977,宜蘭縣,蘇澳鎮,中山路一段107號,,
悟饕池上飯包 宜蘭馬賽店,03-9909558,宜蘭縣,蘇澳鎮,大同路43-45號,,
悟饕池上飯包 宜蘭廣興店,03-9515333,宜蘭縣,冬山鄉,廣興路130號,,
悟饕池上飯包 宜蘭冬山店,03-9595859,宜蘭縣,冬山鄉,冬山路1段866號,,
悟饕池上飯包 宜蘭五結店,03-9503612,宜蘭縣,五結鄉,五結路2段360-6號,,
悟饕池上飯包 宜蘭親水店,03-9601690,宜蘭縣,五結鄉,親河路一段201號,,
悟饕池上飯包 羅東維揚店,03-9515705,宜蘭縣,羅東鎮,維揚路120號,,
悟饕池上飯包 宜蘭站前店,03-9576637,宜蘭縣,羅東鎮,公正路47號,,
悟饕池上飯包 宜蘭旗艦店,03-9532559,宜蘭縣,羅東鎮,純精路二段270號,,
