name,phone,city,region,detailed_address,latitude,longitude
悟饕池上飯包 彰化線西店,04-7714930,彰化縣,線西鄉,中華東路臨21號,,
悟饕池上飯包 鹿港彰鹿店,04-7780996,彰化縣,鹿港鎮,彰鹿路七段633號,,
悟饕池上飯包 員林中正店,04-8337632,彰化縣,員林鎮,中正路118號,,
悟饕池上飯包 和美美寮店,04-7572020,彰化縣,和美鎮,美寮路二段684號,,
悟饕池上飯包 彰化社頭店,04-8739522,彰化縣,社頭鄉,社斗路一段381號,,
悟饕池上飯包 彰化田中店,04-8748867,彰化縣,田中鎮,中正路355號,,
悟饕池上飯包 彰化永靖店,04-8230413,彰化縣,永靖鄉,永坡路3號,,
悟饕池上飯包 彰化北斗店,04-8880029,彰化縣,北斗鎮,新政里三民街90號,,
悟饕池上飯包 彰化二林店,04-8955252,彰化縣,二林鎮,二溪路一段169號,,
悟饕池上飯包 員林站前店,04-8396686,彰化縣,員林鎮,靜修路48-6號,,
悟饕池上飯包 員林大同店,04-8385018,彰化縣,員林鎮,大同路一段366號,,
悟饕池上飯包 彰化溪湖店,04-8829252,彰化縣,溪湖鎮,西環路372號,,
悟饕池上飯包 彰化大埔店,04-7117167,彰化縣,彰化市,大埔路573號,,
悟饕池上飯包 彰化大竹店,04-7375522,彰化縣,彰化市,彰南路二段28號,,
悟饕池上飯包 彰化彰美店,04-7233368,彰化縣,彰化市,彰美路一段203號,,
