name,phone,city,region,detailed_address,latitude,longitude
悟饕池上飯包 泰山明志店,02-2902-5555,新北市,泰山區,明志路三段84號1樓,,
悟饕池上飯包 土城央二店,02-2266-7700,新北市,土城區,中央路二段95號,,
悟饕池上飯包 汐止大同店,02-8691-5005,新北市,汐止區,大同路二段472號,,
悟饕池上飯包 三重自強店,02-8988-1113,新北市,三重區,自強路一段213號,,
悟饕池上飯包 樹林三福店,02-8688-1000,新北市,樹林區,三福街39號,,
悟饕池上飯包 淡水水源店,02-2629-5111,新北市,淡水區,水源街一段74號,,
悟饕池上飯包 板橋文德店,02-2252-2272,新北市,板橋區,文德路12號16號1樓,,
悟饕池上飯包 林口文化店,02-2603-3773,新北市,林口區,文化二路二段111號,,
悟饕池上飯包 樹林樹德店,02-2686-5708,新北市,樹林區,樹德街9號之1,,
悟饕池上飯包 板橋合宜店,02-2968-9444,新北市,板橋區,合宜一路143號,,
悟饕池上飯包 汐止力行店,02-2640-6619,新北市,汐止區,力行街2號,,
悟饕池上飯包 板橋忠孝店,02-2958-0033,新北市,板橋區,忠孝路149號,,
悟饕池上飯包 新莊中港一街店,02-2998-1191,新北市,新莊區,中港一街27號,,
悟饕池上飯包 板橋雙十店,02-2250-6221,新北市,板橋區,雙十路3段5號,,
悟饕池上飯包 土城金城店,02-8261-2889,新北市,土城區,金城路三段127號,,
悟饕池上飯包 土城中央店,02-2268-2311,新北市,土城區,中央路4段9號,,
悟饕池上飯包 三重集美店,02-2977-5252,新北市,三重區,集美街99號,,
悟饕池上飯包 新店民族店,02-2917-3180,新北市,新店區,民族路28號,,
悟饕池上飯包 台北瑞芳店,02-2497-2535,新北市,瑞芳區,民族街26號,,
悟饕池上飯包 汐止連興店,02-2642-7917,新北市,汐止區,連興街134號,,
悟饕池上飯包 汐止中興店,02-2695-1611,新北市,汐止區,中興路238號1樓,,
悟饕池上飯包 五股五權店,02-2299-6589,新北市,新莊區,五股工業區五權一路60號,,
悟饕池上飯包 新莊新樹店,02-2201-7645,新北市,新莊區,新樹路178號,,
悟饕池上飯包 板橋國光店,02-8258-3690,新北市,板橋區,國光路221號,,
悟饕池上飯包 淡水竹圍店,02-2808-7156,新北市,淡水區,民生路59號,,
悟饕池上飯包 八里中山店,02-2619-3088,新北市,八里區,中山路二段389號,,
悟饕池上飯包 金山中正店,02-2408-1648,新北市,金山區,中正路40號,,
悟饕池上飯包 三芝民生店,02-2636-5887,新北市,三芝區,民生街40號,,
