name,address,lite,c-200,c-300
龜山樂善店,桃園市龜山區復興一路７４號１樓,1,1,
龜山文欣店,桃園市龜山區忠義路二段６２６號,1,1,1
龜山大湖店,桃園市龜山區華亞三路３９巷２號１樓,,,1
蘆竹大竹店,桃園市蘆竹區大竹路４９２號,1,1,
蘆竹洛陽店,桃園市蘆竹區南榮村光明路一段１１９號１２１號一樓,1,,
新竹新金科店,新竹市東區金山街１９７號,1,1,
新竹竹科店,新竹市東區科學工業園區竹村七路７號１樓,1,,1
新竹聯發科店,新竹市東區篤行一路８號,1,,
竹北六家店,新竹縣竹北市文興路二段５２９號,1,,
竹北永豐店,新竹縣竹北市莊敬六街８３號１樓,1,,1
竹北新華興店,新竹縣竹北市華興街２８７號１樓,1,,1
三義金美店,苗栗縣三義鄉廣盛村八股路２２－３號,1,,1
大里河堤店,台中市大里區立德里立中街９號,1,1,
台中時尚店,台中市北屯區文心路３段９８３號,1,1,1
台中金太平店,台中市北區太平路６６號１樓,1,,1
台中金大益店,台中市西區精誠路２３８號,1,1,1
台中機場店,台中市沙鹿區中航路１段１６８號,1,1,
台中彩虹村店,台中市南屯區嶺東南路１６７號,1,,1
豐原金站店,台中市豐原區豐陽路１４７號１樓,1,1,
霧峰亞大醫店,台中市霧峰區福新路２１３號,1,1,
埔里暨大店,南投縣埔里鎮大學路５０１號,1,,
斗六新莊店,雲林縣斗六市成功路２７６號１樓,1,1,
麥寮萊杯店,雲林縣麥寮鄉麥豐村２２鄰表福路１９３號壹樓,1,1,
太保祥東店,嘉義縣太保市安仁里１３鄰祥和一路東段２０號一樓,1,1,
朴子樸仔腳店,嘉義縣朴子市竹圍里１１鄰大同路１６６號,1,1,
台南永福店,台南市中西區永福路一段１９１號,1,,1
台南康樂二店,台南市中西區康樂街１５０號一樓,1,1,
台南和順店,台南市北區和順里公園南路３６０號１樓,1,1,
永康勝華店,台南市永康區中華二路３９５號、３９７號,1,1,
台南榮玉店,台南市東區榮譽街６１號,1,1,
台南萬年店,台南市南區萬年五街２６８號１樓,1,,
新化鑫義店,台南市新化區信義路３７１號,1,1,
新市清水店,台南市新市區社內里社內１０２－５號,1,1,
新營民興店,台南市新營區民治路１２２號,1,1,
善化和平店,台南市善化區中山路２３１之６號１樓,1,,
東山農會店,台南市東山區中興路１號,1,1,
關廟五甲店,台南市關廟區南雄路一段１１０７號,1,1,
高雄真大港店,高雄市三民區山東街１５８號,1,1,
高雄中安店,高雄市小港區廈莊一街１６８號,1,1,
高雄花賞店,高雄市左營區辛亥路２５０號一樓,1,1,
高雄光昌店,高雄市左營區後昌路６６９號一樓及貳樓,1,1,
高雄富裕店,高雄市左營區富國路４２０號,1,1,
岡山飛行店,高雄市岡山區久和路１之１號,1,1,
岡山嘉興店,高雄市岡山區嘉興路３７４之１０號１號,1,1,
高雄樂活店,高雄市前金區中華三路１４６號中華大樓一樓Ａ室,1,1,1
高雄中華店,高雄市前金區中華三路２１號１樓,1,1,
高雄真愛店,高雄市苓雅區新光路４０號,1,1,1
高雄福華店,高雄市新興區七賢一路３０１號壹樓,1,1,
高雄大創店,高雄市楠梓區創新路６３９號,1,1,
高雄朝明店,高雄市楠梓區朝明路１０６－１號１樓,1,1,
高雄藍天店,高雄市楠梓區藍昌路３５８號,1,1,
高雄新美店,高雄市鼓山區美術南三路２０３號１樓,1,1,
高雄天誠店,高雄市鼓山區裕誠路１９００號,1,1,
高雄四季店,高雄市鼓山區翠華路３９６號一樓,1,1,
高雄龍德店,高雄市鼓山區龍德路１０６巷３之１號,1,1,
高雄西子灣店,高雄市鼓山區臨海二路６９號,1,1,
鳳山牛稠埔店,高雄市鳳山區文龍東路１７０號,1,1,
枋寮愛琴海店,屏東縣枋寮鄉枋寮村中山路２４３號一、二樓,1,1,
屏東大崇店,屏東縣屏東市大同北路１０２號,1,1,
屏東廣民店,屏東縣屏東市廣東路１２５號一樓、二樓,1,1,
潮州三和店,屏東縣潮州鎮朝昇路３４６號,1,1,
基隆信一店,基隆市信義區信一路１４８號,,,1
蘇澳國道店,宜蘭縣蘇澳鎮新城里蘇新路８１號１樓,1,,
壽豐東湖店,花蓮縣壽豐鄉志學村大學路２段１號（湖畔之心）,1,,
